ID_Encuestado,Marca_Actual,Ocupacion,Edad,Ingreso_Mensual,Gasto_Tecnologia,Horas_Pantalla,Calidad_Percibida_1,Calidad_Percibida_2,Satisfaccion_1,Satisfaccion_2,Lealtad_1,Lealtad_2,Score_Perfil_A,Score_Perfil_B,Score_Perfil_C
1,Apple,Creativo,38,3236.4431081587254,478.2685465344082,4.964636973327547,4,4,5.0,5.0,5.0,4.0,9,2,5
2,Samsung,Ingeniero,27,2267.7917797693094,350.3183726122003,6.760785984193754,2,3,4.0,4.0,4.0,3.0,1,4,8
3,Xiaomi,Ejecutivo,22,2286.0843407360476,350.568779239961,8.11455217053677,2,3,3.0,3.0,2.0,2.0,5,3,6
4,Xiaomi,Ingeniero,53,3356.2510925141287,552.9730765622951,4.838645894711802,7,7,7.0,7.0,6.0,7.0,9,2,6
5,Samsung,Ingeniero,23,1978.2944502060163,323.6508157593257,7.68735618765822,2,1,2.0,3.0,1.0,1.0,2,6,7
6,Samsung,Creativo,43,4132.347523984454,661.3775264806725,5.826000519044068,1,1,2.0,1.0,3.0,2.0,7,3,4
7,Samsung,Ingeniero,21,1645.9032074747893,193.6087466263712,7.529499902492346,6,5,7.0,7.0,7.0,7.0,2,2,5
8,Apple,Creativo,56,3877.1585633181403,641.2323277464783,2.796247944333669,6,7,7.0,7.0,7.0,7.0,9,5,5
9,Xiaomi,Estudiante,56,3856.734518357738,542.3920407792108,4.003161779255354,7,7,7.0,6.0,7.0,7.0,9,7,5
10,Xiaomi,Estudiante,52,3444.6227641096,483.449937485241,5.268749784315285,6,5,7.0,7.0,7.0,7.0,9,7,6
11,Apple,Creativo,18,2157.200468285219,337.1221991104326,8.063065011390595,7,7,6.0,7.0,6.0,6.0,5,3,4
12,Motorola,Estudiante,41,3344.8610463706914,516.8250701080675,6.2914883731305,6,5,6.0,6.0,6.0,4.0,9,10,5
13,Xiaomi,Ejecutivo,53,3187.0904084262106,424.47072115230765,4.113216970490514,1,1,4.0,4.0,5.0,4.0,8,4,8
14,Samsung,Ingeniero,23,2200.6783557732756,321.4377887772965,8.694336079877928,5,6,6.0,7.0,7.0,7.0,2,4,7
15,Samsung,Ejecutivo,58,3358.8163306138213,578.234215435547,1.6436821325286655,3,4,6.0,7.0,6.0,5.0,7,5,7
16,Samsung,Ingeniero,63,4544.274309158651,608.2243182970929,3.841440512923354,3,2,5.0,4.0,4.0,4.0,10,3,5
17,Apple,Estudiante,61,4138.2436551813125,694.9975103278332,5.248880347121278,6,5,5.0,5.0,5.0,5.0,7,10,6
18,Apple,Ejecutivo,48,3441.1649433585435,504.08981893295703,6.697698516041462,4,5,5.0,6.0,4.0,4.0,7,6,7
19,Apple,Estudiante,37,3179.5156744362016,360.0396094936725,6.068173830757525,2,1,5.0,4.0,4.0,5.0,8,10,7
20,Samsung,Ingeniero,41,2912.2448547657996,368.5001415407246,4.573801844357115,1,2,3.0,3.0,2.0,2.0,4,6,7
21,Apple,Creativo,42,3557.0109796091024,485.37777005460566,7.166472842343358,4,5,5.0,5.0,6.0,7.0,8,4,7
22,Apple,Creativo,53,3175.777563621932,445.1701695041527,4.6481348331944385,4,4,5.0,4.0,5.0,5.0,10,2,5
23,Samsung,Ejecutivo,38,3605.9382594472636,535.6550759858226,6.041030460730118,6,5,6.0,6.0,5.0,5.0,8,5,4
24,Apple,Estudiante,47,3074.5444087225733,326.0076548203074,4.40714535912227,1,2,3.0,2.0,3.0,4.0,9,7,4
25,Apple,Estudiante,41,2201.910466152206,339.62678954671355,4.650112519141742,3,2,4.0,4.0,5.0,4.0,2,10,6
26,Xiaomi,Ejecutivo,61,3885.732545768634,530.1053564490509,4.4638631689243535,2,2,3.0,3.0,5.0,4.0,10,2,8
27,Samsung,Creativo,59,3729.0159013728953,628.8785137859873,4.76987145475866,3,3,5.0,4.0,6.0,6.0,7,4,4
28,Apple,Ingeniero,47,3181.9630069249815,463.7856150015485,5.501544001799421,4,3,5.0,6.0,6.0,6.0,8,3,8
29,Xiaomi,Ejecutivo,39,3065.8240077419914,507.0159097479352,5.335954218406156,2,1,3.0,4.0,3.0,3.0,9,4,4
30,Samsung,Ingeniero,45,3798.9211804441366,625.3556260623351,4.43500117489085,5,6,5.0,5.0,5.0,5.0,8,3,4
31,Apple,Creativo,24,2104.147043051432,369.78571863102565,6.167751344780107,4,4,5.0,5.0,4.0,3.0,2,5,6
32,Samsung,Estudiante,52,3254.1912150905496,459.8083451154581,4.239454823922027,3,3,3.0,4.0,4.0,4.0,8,7,7
33,Apple,Creativo,45,2686.7265938581013,374.04898119264897,4.494146435251036,3,3,2.0,2.0,4.0,5.0,2,5,6
34,Motorola,Ejecutivo,31,2315.908604345478,336.13762568740594,5.190690304708955,6,5,6.0,6.0,6.0,5.0,1,5,4
35,Motorola,Estudiante,27,1406.0875803748236,242.7250058251698,7.951345012353048,3,4,3.0,4.0,5.0,6.0,3,10,7
36,Xiaomi,Ejecutivo,33,2287.4334532418197,317.58025449856484,5.3809361385150325,1,1,3.0,3.0,3.0,3.0,1,6,7
37,Apple,Ejecutivo,33,3272.026947931093,484.8409185101516,7.683922681430733,4,3,5.0,5.0,4.0,4.0,9,4,7
38,Samsung,Creativo,48,2988.3203977107887,461.9277504735908,5.594071710113463,7,6,6.0,6.0,6.0,5.0,5,3,8
39,Xiaomi,Ejecutivo,59,4264.357930400152,594.4090932576295,4.394341187618399,7,7,7.0,7.0,7.0,6.0,10,5,4
40,Apple,Creativo,42,2486.758955095755,324.60842884790736,7.465309046060091,2,1,2.0,2.0,3.0,3.0,4,6,5
41,Samsung,Estudiante,30,3385.547949655277,499.918998378092,5.714197365935475,3,3,4.0,4.0,4.0,4.0,7,8,6
42,Apple,Creativo,23,3068.803366532355,459.0294457274353,8.573771996048794,6,6,6.0,5.0,5.0,5.0,7,6,8
43,Samsung,Estudiante,61,4345.510778279939,673.5208907420729,3.60235742697857,6,6,7.0,7.0,7.0,7.0,9,7,6
44,Apple,Creativo,26,3295.6263008217607,527.9382738708418,9.97107015662954,3,4,4.0,3.0,5.0,6.0,10,5,5
45,Samsung,Ingeniero,62,4277.896487463831,586.7313320909923,3.4192055688607903,1,1,3.0,3.0,4.0,4.0,9,6,7
46,Xiaomi,Ingeniero,53,4034.258557074778,564.5345369640385,4.157691663874381,6,7,6.0,5.0,5.0,6.0,7,6,5
47,Apple,Ejecutivo,60,4630.966938365767,646.10742637671,4.425535774857266,7,6,7.0,7.0,6.0,7.0,8,5,6
48,Apple,Creativo,37,2939.8592265492243,511.6012540619547,6.09109146779136,2,2,5.0,4.0,7.0,7.0,5,4,5
49,Apple,Creativo,35,1973.8112692074692,290.0581608709936,5.741537037700131,4,3,4.0,5.0,4.0,4.0,3,6,4
50,Samsung,Estudiante,60,4394.481677617199,659.978716404831,3.0297232160641627,5,4,6.0,7.0,5.0,5.0,7,7,5
51,Motorola,Ejecutivo,38,2664.070202783268,402.4992486181659,7.658204488387403,1,1,3.0,2.0,4.0,3.0,1,2,4
52,Xiaomi,Creativo,21,1851.23508952227,241.90176274245852,6.736538368100009,6,7,7.0,6.0,7.0,7.0,1,2,5
53,Motorola,Ejecutivo,50,3648.947458239345,625.5555946832033,5.2230875603805,4,3,6.0,7.0,5.0,4.0,8,2,4
54,Motorola,Ingeniero,44,3483.140439858685,543.0223987197392,6.656184139626095,5,4,5.0,5.0,4.0,3.0,8,4,4
55,Apple,Creativo,24,2275.067317003109,343.23962403936383,8.704494985442633,3,2,5.0,6.0,5.0,6.0,2,6,5
56,Apple,Creativo,23,2467.8647680786544,314.91689415426987,7.0983475978185595,3,4,7.0,6.0,6.0,5.0,5,2,8
57,Samsung,Ejecutivo,32,2246.5714329699017,278.889090362673,6.593815199374237,2,3,4.0,4.0,2.0,3.0,5,2,7
58,Samsung,Creativo,35,2728.648102638358,393.85183881546527,6.099806498985627,5,6,7.0,7.0,6.0,6.0,1,5,7
59,Samsung,Ejecutivo,49,3874.5427252254353,546.1818191052238,3.5649812373341248,3,2,5.0,4.0,5.0,5.0,8,6,7
60,Apple,Creativo,28,3286.395588218358,439.5871209554261,7.737517383020115,3,3,3.0,3.0,3.0,4.0,10,6,4
61,Apple,Estudiante,37,3913.2177944866044,568.4347681944129,6.338503645634809,7,7,7.0,7.0,7.0,7.0,10,9,7
62,Samsung,Ejecutivo,41,3266.488341363866,479.1518497907854,7.340585080601878,6,6,6.0,6.0,4.0,4.0,7,6,4
63,Apple,Creativo,32,3020.0049133728035,460.090008028934,5.976794902698577,2,1,3.0,2.0,5.0,4.0,9,3,8
64,Apple,Ingeniero,24,3190.7895824075954,453.42246379242613,8.688696558617696,4,4,5.0,5.0,4.0,5.0,10,4,5
65,Apple,Creativo,38,2564.581981633253,334.3072625119864,7.359234150284204,3,3,4.0,4.0,4.0,4.0,1,5,5
66,Apple,Ingeniero,59,4264.849926356292,591.0814446538814,4.147071686807887,7,7,6.0,6.0,4.0,2.0,8,2,4
67,Samsung,Ingeniero,43,3534.1714747430733,590.7743576727703,3.529138429166331,1,1,5.0,6.0,6.0,6.0,8,6,4
68,Xiaomi,Estudiante,61,4773.930718038372,653.5017233876687,3.387432342555709,1,1,4.0,4.0,2.0,2.0,8,8,8
69,Samsung,Ejecutivo,31,1981.429309731889,315.37351137434683,8.685871124304118,4,4,5.0,5.0,6.0,6.0,5,3,7
70,Apple,Creativo,54,3230.2971080997418,510.52188270368106,4.897055771491909,5,4,6.0,6.0,4.0,5.0,8,4,8
71,Xiaomi,Estudiante,38,2910.6911055523533,430.53989204106955,6.893399705871885,2,3,5.0,4.0,3.0,3.0,2,9,5
72,Samsung,Creativo,35,2938.863831160818,529.2210275943817,6.410833418365032,7,7,7.0,7.0,7.0,6.0,1,6,5
73,Samsung,Ingeniero,22,2661.431976866904,424.30074618142055,7.5765570901368715,6,7,7.0,7.0,6.0,6.0,4,6,7
74,Xiaomi,Ejecutivo,20,2258.771887906136,430.96093560115287,6.132655431300494,7,7,7.0,7.0,7.0,7.0,2,3,5
75,Apple,Creativo,40,2924.293384944858,406.09080764598514,6.794739217055307,1,1,4.0,4.0,6.0,6.0,2,6,4
76,Xiaomi,Creativo,43,3358.2307223780704,472.0373378620396,6.779681204722377,1,2,3.0,3.0,3.0,3.0,7,6,5
77,Samsung,Ingeniero,54,3850.522238137226,603.9551936545846,3.6491377145333113,4,5,5.0,5.0,5.0,5.0,9,2,6
